iter	Passed	Remaining
0	1	109
1	2	109
2	3	109
3	4	97
4	4	94
5	6	95
6	7	95
7	8	92
8	8	89
9	9	87
10	10	85
11	11	85
12	12	84
13	13	84
14	15	85
15	16	84
16	19	92
17	20	94
18	21	92
19	22	89
20	23	87
21	24	86
22	24	83
23	25	81
24	26	79
25	28	82
26	29	80
27	30	78
28	31	76
29	32	74
30	32	73
31	33	71
32	34	70
33	35	69
34	36	67
35	37	66
36	38	64
37	38	63
38	39	62
39	40	60
40	40	58
41	41	56
42	41	55
43	44	56
44	45	55
45	46	54
46	47	53
47	48	52
48	48	50
49	49	49
50	50	48
51	51	47
52	52	46
53	52	45
54	53	43
55	53	42
56	54	40
57	54	39
58	55	38
59	55	37
60	56	36
61	57	35
62	58	34
63	59	33
64	60	32
65	61	31
66	61	30
67	62	29
68	63	28
69	63	27
70	64	26
71	65	25
72	66	24
73	66	23
74	67	22
75	68	21
76	68	20
77	69	19
78	70	18
79	70	17
80	71	16
81	72	15
82	72	14
83	74	14
84	76	13
85	77	12
86	77	11
87	78	10
88	79	9
89	79	8
90	80	7
91	81	7
92	81	6
93	82	5
94	83	4
95	83	3
96	84	2
97	84	1
98	85	0
99	86	0
